,이름,레어도,장비분류,장비군,무기 분류,주스탯,주스탯수치,부스탯,부스탯수치,드랍 가중치,리소스,툴팁,비고,,유의사항
ID,Name,Rare,Type,Group,Weapon_Type,Main_Stat,MS_amount,Sub_Stat,SS_amount,Dropper,Resource,Tooltip,,,
200,평범한 의복,1,1,1,,2,3,3,50,300,Item_Sheet_Clothes_Leather_Dark/Item_Sheet_Clothes_Leather_Dark_32,기본적인 보호 기능은 제공됩니다. 찢어지지 않게 조심합시다.,,,
201,평범한 검,1,3,1,1,1,5,-,-,300,Item_Sheet_Weapons/Item_Sheet_Weapons_4,원래 사용하던 무기가 아니라 손에 맞진 않습니다. 없는 것보단 낫습니다.,,,
202,평범한 활,1,3,1,2,1,6,-,-,300,Item_Sheet_Weapons/Item_Sheet_Weapons_254,원래 사용하던 무기가 아니라 손에 맞진 않습니다. 없는 것보단 낫습니다.,,,
203,평범한 십자가,1,3,1,3,1,7,-,-,300,추후 제작,원래 사용하던 무기가 아니라 손에 맞진 않습니다. 없는 것보단 낫습니다.,,,
204,평범한 스태프,1,3,1,4,1,8,-,-,300,Item_Sheet_Weapons/Item_Sheet_Weapons_266,원래 사용하던 무기가 아니라 손에 맞진 않습니다. 없는 것보단 낫습니다.,,,
205,분노의 반지 - I,1,2,-,,1,3,-,-,120,Item_Sheet_Rings_Crimson/Item_Sheet_Rings_Crimson_81,공격력이 소폭 늘어나는 장신구입니다.,,,
206,수호의 목걸이 - I,1,2,-,,2,1,-,-,120,Item_Sheet_Necklaces_Silver/Item_Sheet_Necklaces_Silver_11,방어력이 소폭 늘어나는 장신구입니다.,,,
207,활력의 목걸이 - I,1,2,-,,4,1,-,-,80,Item_Sheet_Necklaces_Fateful/Item_Sheet_Necklaces_Fateful_11,체력 회복이 늘어나는 장신구입니다.,,,
208,건강의 반지 - I,1,2,-,,3,25,-,-,80,Item_Sheet_Rings_Adamantine/Item_Sheet_Rings_Adamantine_81,체력이 소폭 늘어나는 장신구입니다.,,,
209,치명의 반지 - I,1,2,-,,6,2,-,-,80,Item_Sheet_Rings_Gold/Item_Sheet_Rings_Gold_81,크리티컬 확률이 소폭 늘어나는 장신구입니다.,,,
210,치명의 귀고리 - I,1,2,-,,7,5,-,-,80,추후 제작,크리티컬 배율이 소폭 늘어나는 장신구입니다.,,,
211,치명의 목걸이 - I,1,2,-,,6,0,7,5,40,Item_Sheet_Necklaces_Gold/Item_Sheet_Necklaces_Gold_11,크리티컬 배율이 소폭 늘어나는 장신구입니다. 강화 시에는 크리티컬 확률이 증가됩니다.,,,
212,균형의 목걸이 - I,1,2,-,,1,2,2,0.5,40,Item_Sheet_Necklaces_Steel/Item_Sheet_Necklaces_Steel_11,공격력과 방어력이 미량 늘어나는 장신구입니다. 강화 시에는 공격력이 증가됩니다.,,,
213,과부하의 목걸이 - I,1,2,-,,1,6,2,-1,40,Item_Sheet_Necklaces_Crimson/Item_Sheet_Necklaces_Crimson_11,공격력이 늘어나는 대신 방어력이 소폭 감소하는 장신구입니다.,,,
214,안정의 오브 - I,1,2,-,,2,0.5,3,15,40,추후 제작,방어력과 체력이 미량 늘어나는 장신구입니다. 강화 시에는 방어력이 증가됩니다.,,,
215,중심의 목걸이 - I,1,2,-,,2,2,1,-3,40,Item_Sheet_Necklaces_Nova/Item_Sheet_Necklaces_Nova_11,방어력이 늘어나는 대신 공격력시 소폭 감소하는 장신구입니다.,,,
216,회복의 목걸이 - I,1,2,-,,3,10,4,0.5,40,Item_Sheet_Necklaces_Adamantine/Item_Sheet_Necklaces_Adamantine_11,체력과 체력 회복이 소폭 늘어나는 장신구입니다. 강화 시에는 체력이 증가됩니다.,,,
217,수선된 전투복,2,1,2,,2,4,3,80,150,Item_Sheet_Clothes_Leather_Dark/Item_Sheet_Clothes_Leather_Dark_34,자주 사용되는 부분의 재질이 조금 다른 것 같습니다. 그래도 불편할 정도는 아닙니다.,,,
218,개선된 검,2,3,2,1,1,8,-,-,150,Item_Sheet_Weapons/Item_Sheet_Weapons_24,그립감은 나쁘지 않습니다. 초보자 마을의 무기 상점에서 팔 것 같은 느낌입니다.,,,
219,개선된 활,2,3,2,2,1,8,-,-,150,Item_Sheet_Weapons/Item_Sheet_Weapons_274,그립감은 나쁘지 않습니다. 초보자 마을의 무기 상점에서 팔 것 같은 느낌입니다.,,,
220,개선된 십자가,2,3,2,3,1,8,-,-,150,추후 제작,그립감은 나쁘지 않습니다. 초보자 마을의 무기 상점에서 팔 것 같은 느낌입니다.,,,
221,개선된 스태프,2,3,2,4,1,8,-,-,150,Item_Sheet_Weapons/Item_Sheet_Weapons_246,그립감은 나쁘지 않습니다. 초보자 마을의 무기 상점에서 팔 것 같은 느낌입니다.,,,
222,덧댄 전투복,2,1,3,,2,3,3,100,150,Item_Sheet_Clothes_Leather_Dark/Item_Sheet_Clothes_Leather_Dark_33,여기저기 덧대어져 살짝 무거운 감이 있습니다. ,,,
223,개량된 검,2,3,3,1,1,8,2,-1,150,Item_Sheet_Weapons/Item_Sheet_Weapons_20,약간 불안하긴 하지만 출력이 향상되었습니다.,,,
224,개량된 활,2,3,3,2,1,8,2,-1,150,Item_Sheet_Weapons/Item_Sheet_Weapons_294,약간 불안하긴 하지만 출력이 향상되었습니다.,,,
225,개량된 십자가,2,3,3,3,1,8,2,-1,150,추후 제작,약간 불안하긴 하지만 출력이 향상되었습니다.,,,
226,개량된 스태프,2,3,3,4,1,8,2,-1,150,Item_Sheet_Weapons/Item_Sheet_Weapons_247,약간 불안하긴 하지만 출력이 향상되었습니다.,,,
227,분노의 반지 - II,2,2,-,,1,4,-,-,120,Item_Sheet_Rings_Crimson/Item_Sheet_Rings_Crimson_4,공격력이 적당히 늘어나는 장신구입니다.,,,
228,수호의 목걸이 - II,2,2,-,,2,2,-,-,120,Item_Sheet_Necklaces_Silver/Item_Sheet_Necklaces_Silver_70,방어력이 적당히 늘어나는 장신구입니다.,,,
229,활력의 목걸이 - II,2,2,-,,4,2,-,-,80,Item_Sheet_Necklaces_Fateful/Item_Sheet_Necklaces_Fateful_70,체력 회복이 꽤 늘어나는 장신구입니다.,,,
230,건강의 반지 - II,2,2,-,,3,40,-,-,80,Item_Sheet_Rings_Adamantine/Item_Sheet_Rings_Adamantine_81,체력이 적당히 늘어나는 장신구입니다.,,,
231,치명의 반지 - II,2,2,-,,6,5,-,-,80,Item_Sheet_Rings_Gold/Item_Sheet_Rings_Gold_4,크리티컬 확률이 적당히 늘어나는 장신구입니다.,,,
232,치명의 귀고리 - II,2,2,-,,7,10,-,-,80,추후 제작,크리티컬 배율이 적당히 늘어나는 장신구입니다.,,,
233,치명의 목걸이 - II,2,2,-,,6,0,7,10,40,Item_Sheet_Necklaces_Gold/Item_Sheet_Necklaces_Gold_70,크리티컬 배율이 적당히 늘어나는 장신구입니다. 강화 시에는 크리티컬 확률이 증가됩니다.,,,
234,균형의 목걸이 - II,2,2,-,,2,1,1,2,40,Item_Sheet_Necklaces_Steel/Item_Sheet_Necklaces_Steel_70,공격력과 방어력이 소폭 늘어나는 장신구입니다. 강화 시에는 방어력이 증가됩니다.,,,
235,과부하의 목걸이 - II,2,2,-,,1,8,2,-2,40,Item_Sheet_Necklaces_Crimson/Item_Sheet_Necklaces_Crimson_70,공격력이 늘어나는 대신 방어력이 적당히 감소하는 장신구입니다.,,,
236,안정의 오브 - II,2,2,-,,2,1,3,20,40,추후 제작,방어력과 체력이 소량 늘어나는 장신구입니다. 강화 시에는 방어력이 증가됩니다.,,,
237,중심의 목걸이 - II,2,2,-,,2,6,1,-8,40,Item_Sheet_Necklaces_Nova/Item_Sheet_Necklaces_Nova_70,방어력이 대량 늘어나는 대신 공격력이 감소하는 장신구입니다.,,,
238,회복의 목걸이 - II,2,2,-,,3,20,4,1,40,Item_Sheet_Necklaces_Adamantine/Item_Sheet_Necklaces_Adamantine_70,체력과 체력 회복이 적당히 늘어나는 장신구입니다. 강화 시에는 체력이 증가됩니다.,,,
239,잘 맞는 갑옷,3,1,4,,2,5,3,100,100,Item_Sheet_Armor/Item_Sheet_Armor_146,맞춤형으로 만들어졌는지 딱 들어맞습니다. 조금 소름돋습니다.,,,
240,적절한 검,3,3,4,1,1,10,-,-,100,Item_Sheet_Weapons/Item_Sheet_Weapons_44,정말 완벽하게 적절합니다. 이 험한 던전에 들어온 사람에게 선물하기 좋습니다.,,,
241,적절한 활,3,3,4,2,1,10,-,-,100,Item_Sheet_Weapons/Item_Sheet_Weapons_494,정말 완벽하게 적절합니다. 이 험한 던전에 들어온 사람에게 선물하기 좋습니다.,,,
242,적절한 십자가,3,3,4,3,1,10,-,-,100,추후 제작,정말 완벽하게 적절합니다. 이 험한 던전에 들어온 사람에게 선물하기 좋습니다.,,,
243,적절한 스태프,3,3,4,4,1,10,-,-,100,Item_Sheet_Weapons/Item_Sheet_Weapons_487,정말 완벽하게 적절합니다. 이 험한 던전에 들어온 사람에게 선물하기 좋습니다.,,,
244,개량된 작업복,3,1,5,,2,3,3,140,100,Item_Sheet_Armor/Item_Sheet_Armor_152,마치 입지 않은듯 몸이 가벼운 작업복입니다. 진짜 입고있는지 확인할 필요가 있습니다.,,,
245,가벼운 검,3,3,5,1,1,14,2,-2,100,Item_Sheet_Weapons/Item_Sheet_Weapons_42,기존에 쓰던 것보다 가볍기는 합니다. 초보 전사가 다루기엔 부적절합니다.,,,
246,가벼운 활,3,3,5,2,1,14,2,-2,100,Item_Sheet_Weapons/Item_Sheet_Weapons_314,기존에 쓰던 것보다 가볍기는 합니다. 초보 궁수가 다루기엔 부적절합니다.,,,
247,가벼운 십자가,3,3,5,3,1,14,2,-2,100,추후 제작,기존에 쓰던 것보다 가볍기는 합니다. 초보 프리스트가 다루기엔 부적절합니다.,,,
248,가벼운 스태프,3,3,5,4,1,14,2,-2,100,Item_Sheet_Weapons/Item_Sheet_Weapons_306,기존에 쓰던 것보다 가볍기는 합니다. 초보 마법사가 다루기엔 부적절합니다.,,,
249,두터운 슈트,3,1,6,,2,7,3,60,100,Item_Sheet_Armor/Item_Sheet_Armor_149,돌덩어리가 날아와도 생채기 하나 내지 못하는 슈트입니다. 안타깝지만 충격까지 흡수해주진 않습니다.,,,
250,튼튼한 검,3,3,6,1,1,6,2,2,100,Item_Sheet_Weapons/Item_Sheet_Weapons_40,오래 사용된 흔적이 있습니다. 환경 보호를 위해 재사용된 무기 같습니다.,,,
251,튼튼한 활,3,3,6,2,1,6,2,2,100,Item_Sheet_Weapons/Item_Sheet_Weapons_334,오래 사용된 흔적이 있습니다. 환경 보호를 위해 재사용된 무기 같습니다.,,,
252,튼튼한 십자가,3,3,6,3,1,6,2,2,100,추후 제작,오래 사용된 흔적이 있습니다. 환경 보호를 위해 재사용된 무기 같습니다.,,,
253,튼튼한 스태프,3,3,6,4,1,6,2,2,100,Item_Sheet_Weapons/Item_Sheet_Weapons_307,오래 사용된 흔적이 있습니다. 환경 보호를 위해 재사용된 무기 같습니다.,,,
254,분노의 반지 - III,3,2,-,,1,5,-,-,120,Item_Sheet_Rings_Crimson/Item_Sheet_Rings_Crimson_101,공격력이 늘어나는 장신구입니다.,,,
255,수호의 목걸이 - III,3,2,-,,2,3,-,-,120,Item_Sheet_Necklaces_Silver/Item_Sheet_Necklaces_Silver_60,방어력이 늘어나는 장신구입니다.,,,
256,활력의 목걸이 - III,3,2,-,,4,3,-,-,80,Item_Sheet_Necklaces_Fateful/Item_Sheet_Necklaces_Fateful_60,체력 회복이 많이 늘어나는 장신구입니다.,,,
257,건강의 반지 - III,3,2,-,,3,50,-,-,80,Item_Sheet_Rings_Adamantine/Item_Sheet_Rings_Adamantine_101,체력이 늘어나는 장신구입니다.,,,
258,치명의 반지 - III,3,2,-,,6,8,-,-,80,Item_Sheet_Rings_Gold/Item_Sheet_Rings_Gold_101,크리티컬 확률이 늘어나는 장신구입니다.,,,
259,치명의 귀고리 - III,3,2,-,,7,20,-,-,80,추후 제작,크리티컬 배율이 늘어나는 장신구입니다.,,,
260,치명의 목걸이 - III,3,2,-,,6,0,7,20,40,Item_Sheet_Necklaces_Gold/Item_Sheet_Necklaces_Gold_60,크리티컬 배율이 늘어나는 장신구입니다. 강화 시에는 크리티컬 확률이 증가됩니다.,,,
